 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.31.12.173:5000
[33mPress CTRL+C to quit[0m
198.235.24.254 - - [26/Dec/2025 03:51:21] "GET / HTTP/1.0" 200 -
124.227.31.30 - - [26/Dec/2025 04:16:32] "GET / HTTP/1.1" 200 -
175.30.48.23 - - [26/Dec/2025 04:17:16] "GET / HTTP/1.1" 200 -
220.197.78.233 - - [26/Dec/2025 04:17:17] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
105.112.26.36 - - [26/Dec/2025 04:17:36] "GET / HTTP/1.1" 200 -
105.112.26.36 - - [26/Dec/2025 04:17:36] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
105.112.26.36 - - [26/Dec/2025 04:17:38] "GET / HTTP/1.1" 200 -
105.112.26.36 - - [26/Dec/2025 04:17:44] "GET / HTTP/1.1" 200 -
105.112.26.36 - - [26/Dec/2025 04:17:46] "GET / HTTP/1.1" 200 -
105.112.26.36 - - [26/Dec/2025 04:17:53] "GET / HTTP/1.1" 200 -
